playlist,track_name,artist,album,release_date,popularity,track_id
Bollywood Top 50,Saibo,"Sachin-Jigar, Shreya Ghoshal, Tochi Raina",Shor in the City (Original Motion Picture Soundtrack),2011-03-28,70,6udC4b4jOSnHb9ItnXgKLR
Bollywood Top 50,Dildaara (Stand By Me),"Vishal-Shekhar, Shafqat Amanat Ali, Kumaar",Ra-One,2011-09-16,67,6ZoCBDOB308GqUdt2AJrV2
Bollywood Top 50,Saware,"Pritam, Arijit Singh",Phantom,2015-07-31,61,1juJ3mwsFerctbngtK42G4
Bollywood Top 50,Darasal,"Atif Aslam, Jam8, Irshad Kamil",Raabta,2017-06-03,55,3OZLwCFeWOCFHTlIIrwzmO
Bollywood Top 50,Saiyaara,"Sohail Sen, Mohit Chauhan, Tarannum Malik Jain, Kausar Munir",Ek Tha Tiger,2012-07-16,69,1ocYa8PoVd5e2vPn0xHJcA
Bollywood Top 50,,,,0000,0,4gBQbegBZlPhMgaWVzCCY5
Bollywood Top 50,Dagabaaz Re,"Rahat Fateh Ali Khan, Shreya Ghoshal",Dabangg 2,2012-11-17,64,6MudETKykE31rz3v2DOHa0
Bollywood Top 50,Ajab Si,"Vishal-Shekhar, KK",Om Shanti Om,2007-09-18,74,5FXMRdJjKq1BIX4e8Eg9mK
Bollywood Top 50,Gulabi,"Sachin-Jigar, Jigar Saraiya, Priya Saraiya, Jaideep Sahni",Shuddh Desi Romance,2013-08-22,65,22kRCQPyNXWZSQEcDvCmGD
Bollywood Top 50,Chori Kiya Re Jiya,"Sonu Nigam, Shreya Ghoshal",Dabangg,2010-08-04,66,5CteVMD0U8C9WbAWvrNgkN
Bollywood Top 50,Dil Diyan Gallan,"Vishal-Shekhar, Atif Aslam, Irshad Kamil",Tiger Zinda Hai,2017-12-12,66,5MnAi6ZF7cE8pAz7wYr9Ta
Bollywood Top 50,Kho Gaye,"Taaruk Raina, Mismatched - Cast",Mismatched: Season 2 (Soundtrack from the Netflix Series),2022-09-30,68,2QophXhN2Ls2URfoPmiviC
Bollywood Top 50,Akhiyaan,Mitraz,Akhiyaan,2022-09-04,65,2l3dFxtoSMgMQVyRIUHjpz
Bollywood Top 50,Jiyein Kyun,"Pritam, Papon",Dum Maaro Dum,2011-03-15,65,0up9rhm9qt2LW7cnoDFCMk
Bollywood Top 50,Naina,"Sona Mohapatra, Armaan Malik",Khoobsurat,2014-08-12,60,3SHopOL3KEJ8PFl3vJdfmF
Bollywood Top 50,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019-05-31,78,2Fv2injs4qAm8mJBGaxVKU
Bollywood Top 50,Phir Kabhi,"Arijit Singh, Amaal Mallik, Manoj Muntashir",M.S.Dhoni - The Untold Story,2016-09-17,61,4jk4CaqBMBbMZhf3PuR1ai
Bollywood Top 50,Teri Ore,"Pritam, Rahat Fateh Ali Khan, Shreya Ghoshal, Mayur Puri",Singh Is Kinng (Original Motion Picture Soundtrack),2008-06-30,68,5aU0fpmu2sdYJVOHVHCz5s
Bollywood Top 50,Baatein Ye Kabhi Na - Male,"Jeet Gannguli, Arijit Singh",Khamoshiyan (Original Motion Picture Soundtrack),2014-12-29,69,0PxMHdQ6bSz9q0eJj3kJzb
Bollywood Top 50,Faasle,Aditya Rikhari,Faasle,2021-07-31,69,0s76ExpXyMGVBlKLUr683e
Bollywood Top 50,Zara Sa,"Pritam, KK",Jannat (Original Motion Picture Soundtrack),2008-03-07,76,18YHbIhrleUkKKj2DvEp79
